,ind,Species,Start_UTC,End_UTC,Foraging1,Foraging2,pre.Foraging1,abl.Foraging1,akw.Foraging1,Session,HPAS_order,KW_order,maxRL,weights
212,ha13_176a,BW,25/06/2013 00:53,25/06/2013 01:53,1.00E-05,1.00E-05,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999777778
22,ha13_176a,BW,25/06/2013 01:53,25/06/2013 02:53,0.469040236,0.469040236,0.412986877,0.49144133,0,Baseline,0,0,NA,0.9999
2310,ha13_176a,BW,25/06/2013 02:53,25/06/2013 03:53,0.550341431,0.550341431,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999872222
241,ha13_176a,BW,25/06/2013 03:53,25/06/2013 04:53,0.532926162,0.532926162,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999677778
251,ha13_176a,BW,25/06/2013 04:53,25/06/2013 05:53,0.336264077,0.336264077,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999872222
26,ha13_176a,BW,25/06/2013 05:53,25/06/2013 06:53,0.638270986,0.638270986,0.412986877,0.49144133,0,Baseline,0,0,NA,0.9998
271,ha13_176a,BW,25/06/2013 06:53,25/06/2013 07:53,0.635437721,0.635437721,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999938889
28,ha13_176a,BW,25/06/2013 07:53,25/06/2013 08:53,0.559884633,0.559884633,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999727778
29,ha13_176a,BW,25/06/2013 08:53,25/06/2013 09:53,0.222884128,0.222884128,0.412986877,0.49144133,0,Baseline,0,0,NA,0.999916667
31,ha13_176a,BW,25/06/2013 10:04,25/06/2013 10:28,1.00E-05,1.00E-05,0.412986877,0.49144133,0,LFAS,1,0,151.4482019,0.394444444
5,ha15_171a,BW,20/06/2015 12:27,20/06/2015 13:13,0.022337965,0.022337965,0.55570592,0.49144133,0,Baseline,0,0,NA,0.758888889
51,ha15_171a,BW,20/06/2015 13:13,20/06/2015 14:13,0.754803615,0.754803615,0.55570592,0.49144133,0,Baseline,0,0,NA,0.999883333
527,ha15_171a,BW,20/06/2015 14:13,20/06/2015 15:13,0.761434055,0.761434055,0.55570592,0.49144133,0,Baseline,0,0,NA,0.999961111
72,ha15_171a,BW,20/06/2015 16:33,20/06/2015 16:48,1.00E-05,1.00E-05,0.55570592,0.49144133,0,PB-mammal,0,1,NA,0.25
91,ha15_179b,BW,28/06/2015 22:48,28/06/2015 23:48,0.423751055,0.423751055,0.428840539,0.49144133,0,Baseline,0,0,NA,0.999955556
92,ha15_179b,BW,28/06/2015 23:48,29/06/2015 00:48,0.511375341,0.511375341,0.428840539,0.49144133,0,Baseline,0,0,NA,0.999872222
931,ha15_179b,BW,29/06/2015 00:48,29/06/2015 01:48,0.504007733,0.504007733,0.428840539,0.49144133,0,Baseline,0,0,NA,0.999872222
941,ha15_179b,BW,29/06/2015 01:48,29/06/2015 02:48,0.254699202,0.254699202,0.428840539,0.49144133,0,Baseline,0,0,NA,0.999933333
10,ha15_179b,BW,29/06/2015 02:48,29/06/2015 03:03,1.00E-05,1.00E-05,0.428840539,0.49144133,0,LFAS,1,0,128.3794976,0.25
12,ha16_170a,BW,18/06/2016 08:06,18/06/2016 08:16,1.00E-05,1.00E-05,0.568231985,0.49144133,0,Baseline,0,0,NA,0.166038889
121,ha16_170a,BW,18/06/2016 08:16,18/06/2016 09:16,0.480142009,0.480142009,0.568231985,0.49144133,0,Baseline,0,0,NA,0.999933333
122,ha16_170a,BW,18/06/2016 09:16,18/06/2016 10:16,0.706353561,0.706353561,0.568231985,0.49144133,0,Baseline,0,0,NA,0.999788889
123,ha16_170a,BW,18/06/2016 10:16,18/06/2016 11:16,0.651141521,0.651141521,0.568231985,0.49144133,0,Baseline,0,0,NA,0.999883333
1242,ha16_170a,BW,18/06/2016 11:16,18/06/2016 12:16,0.529703204,0.529703204,0.568231985,0.49144133,0,Baseline,0,0,NA,0.999761111
133,ha16_170a,BW,18/06/2016 12:36,18/06/2016 12:51,1.00E-05,1.00E-05,0.568231985,0.49144133,0,LFAS,1,0,128.0332501,0.167738889
